epoch,train_loss,val_loss
1,0.23278723463416098,0.18238875687122344
2,0.16810269432763258,0.1554981212814649
3,0.1524528331682086,0.14393940389156343
4,0.13699254549418888,0.12056856781244278
5,0.11183065922930836,0.09402043705185255
6,0.08770929071431359,0.07389558891455332
7,0.07601716216964026,0.06771081417798996
8,0.0709634023035566,0.06290120132267475
9,0.06700707730526725,0.06224818381170432
10,0.06330878333188593,0.05726536353429158
11,0.060806501237675545,0.05956035494804382
12,0.05880198297401269,0.05438387992481391
13,0.056796926859145364,0.051340008129676186
14,0.054751190297926466,0.05106203923622767
15,0.05318297937512398,0.050143384685118995
16,0.052306265408794086,0.048837862114111584
17,0.05068848342324297,0.04902747966349125
18,0.049417729989315075,0.04651992070178191
19,0.04846318651301165,0.045797018557786943
20,0.04710664575609068,0.0450283719599247
21,0.04640260130632669,0.04488495317598184
22,0.04545583159662783,0.04285408581296603
23,0.04443591887752215,0.04295153307418029
24,0.04393554370695104,0.04378072862823804
25,0.043076826559069255,0.043417950049042704
26,0.0423957030614838,0.04269790942470233
27,0.04147234983431796,0.04140571758151054
28,0.04099529066588729,0.04167032731076081
29,0.040155821686300136,0.04061793344716231
30,0.04014640751450012,0.0408199559400479
31,0.03927476234268397,0.041625673547387124
32,0.03914897279813886,0.040515223145484926
33,0.03869882770969222,0.03981380266447862
34,0.03818099841941148,0.0383307662854592
35,0.03757608654132734,0.0390976149837176
36,0.037206649642127256,0.04010827377438545
37,0.03724656214316686,0.038693523605664575
38,0.03692320517419527,0.03895096036295096
39,0.036618248606100676,0.03892640203237534
40,0.03629406414770832,0.03939530245959759
41,0.03620533738906185,0.03755457724134127
42,0.0359053261562561,0.03872527206937472
43,0.03587631765908251,0.03791591008504232
44,0.03580356611870229,0.036688443943858146
45,0.035563447320212924,0.03723748502631982
46,0.035534079219214615,0.03611409644285838
47,0.03550345368993779,0.03797860582669576
48,0.035538323226695256,0.037394762833913166
49,0.03519446663248042,0.0376383467639486
50,0.03548913427628577,0.03807621791958809
51,0.03534954459561656,0.03789371468126774
52,0.04180433961407592,0.041770705406864485
53,0.04146683111165961,0.040749692395329475
54,0.04010792893202354,0.039878106663624444
55,0.03934815388793746,0.039891782303651174
56,0.03855370650378366,0.038955674345294636
57,0.03978215108625591,0.04027348833779494
58,0.040576580022461714,0.04019309384127458
59,0.0373781202842171,0.03953311614692211
60,0.03729211069022616,0.037931867837905885
61,0.0371778729185462,0.03790814007321994
62,0.036211050528412066,0.03979848203559717
63,0.035855335287439324,0.03866497434675693
64,0.03577493773618092,0.037506437425812084
65,0.03552162816592803,0.03697300935784976
66,0.03548184742995848,0.03717342016597589
67,0.03439068046553681,0.03635549008846283
68,0.034215924978877106,0.03724617563188076
69,0.033770956342729426,0.03733354444305102
70,0.03322684360668063,0.037335099379221595
71,0.032783798409315446,0.03555479134122531
72,0.03286813071308037,0.035051871240139004
73,0.03265739433622609,0.036464439903696376
74,0.032084584484497705,0.036214833135406174
75,0.031698980500611165,0.036423970287044846
76,0.03149190516676754,0.03458313429107269
77,0.03133196216697494,0.03466500652333101
78,0.030983571020575862,0.03425705758233865
79,0.030625066047844787,0.034823429783185325
80,0.030321833874719838,0.03520660743117333
81,0.030330937310742836,0.03502135808269183
82,0.02996951206897696,0.033450012703736626
83,0.029709951754969856,0.034834803206225236
84,0.029203750068942706,0.03458652943372727
85,0.029135152332795164,0.03452811419963837
86,0.028867715008867284,0.032922832518815996
87,0.028778959667931002,0.03552753898004691
88,0.028528475081548096,0.03303330030292272
89,0.028595111762794355,0.03289676624039809
90,0.028282831953838468,0.0330187184860309
91,0.028360722224848967,0.03323561129470666
92,0.028149115741252898,0.03270780311276515
93,0.028074562697050474,0.03283269340793292
