epoch,train_loss,val_loss
1,0.40051072801152865,0.3372097661097844
2,0.31593955705563226,0.29407165189584095
3,0.2929344757894675,0.281038116812706
4,0.28428739078342913,0.271210732460022
5,0.259199890345335,0.22103680531183878
6,0.21937327787280084,0.19240092486143112
7,0.19600419459243615,0.175169072051843
8,0.18371724986781676,0.16753281017144522
9,0.1764407099907597,0.15928750932216645
10,0.16869635988026857,0.15633570671081543
11,0.1630008412276705,0.15076027065515518
12,0.15904437417785328,0.14233090351025263
13,0.1544874889527758,0.14217384040355682
14,0.15198892883956433,0.1372527109583219
15,0.14812049632271132,0.14029188811779023
16,0.1465340822438399,0.1350478532910347
17,0.1434024108822147,0.13689277162154515
18,0.1413740734755993,0.1321086950103442
19,0.14064371779561044,0.12901407182216645
20,0.13764507939418158,0.12981679985920588
21,0.13588397952417533,0.1285002213716507
22,0.13404415446023146,0.12402854303518931
23,0.1319389941294988,0.12360974123080572
24,0.13071290419747433,0.1222436002890269
25,0.12987693363179764,0.12255547831455867
26,0.12830868701140086,0.12122510691483815
27,0.1265777832145492,0.11927883605162302
28,0.12584847127397855,0.120365342994531
29,0.12430885991702477,0.11763120571772258
30,0.12403123295555513,0.1158148909608523
31,0.12301578033715486,0.11824977735678355
32,0.12206767112016678,0.11478260606527328
33,0.12131497524057826,0.11410109887520473
34,0.12022405269866189,0.11289434800545374
35,0.11902453492706021,0.1125592628121376
36,0.11842254340648652,0.11459654698769252
37,0.11841653722027938,0.11306075036525726
38,0.11789904794966181,0.11216781149307886
39,0.11731780344620348,0.11186685194571813
40,0.11657882377505302,0.11139362225929896
41,0.11626171264176567,0.10943505922953288
42,0.11591905736053984,0.1109366351366043
43,0.11551938601459066,0.11055493136247
44,0.11567384427413345,0.10862406820058823
45,0.11495755174507698,0.1094290574391683
46,0.11512167784695825,0.10791094402472177
47,0.1150541504099965,0.11012821540236473
48,0.11484383727113406,0.10957975486914316
49,0.11439182211955388,0.10786548187335332
50,0.11513950631643335,0.10979751656452814
51,0.11443516199166576,0.1100516535838445
52,0.1310201916222771,0.122786266207695
53,0.12773979893575113,0.12020423899094264
54,0.12620476083209117,0.11829602698485056
55,0.12400063317269087,0.11820385615030925
56,0.12443385357658068,0.11858371466398239
57,0.12262681063264608,0.11535893728335699
58,0.12159809215615193,0.11883066932360331
59,0.12106486478820443,0.11568455636501312
60,0.12042516444499295,0.1137480186422666
61,0.11818680547798674,0.11307276537021001
62,0.12036033062885206,0.11432659149169921
63,0.11823303273568551,0.11486465513706207
64,0.11655491006871065,0.11201275378465653
65,0.11598462017873923,0.11075669839978218
66,0.11509745484218001,0.11099673897027969
67,0.11407981418073178,0.10834125558535258
68,0.11406674483170112,0.11338664382696152
69,0.11253902324785789,0.10908565024534861
70,0.11152005462596813,0.1091287170847257
71,0.11066243230675657,0.10904176344474156
72,0.1109080696105957,0.10522156263391177
73,0.10964781404783329,0.10841047525405884
74,0.10918852121258775,0.10723279803991317
75,0.10811576701700687,0.10911247104406357
76,0.10747952136521538,0.10546398813525835
77,0.10738979019845525,0.10613183597723642
78,0.1063762960024178,0.1041098752617836
79,0.1058975337445736,0.10552618006865183
80,0.10507565555473168,0.10437038123607635
81,0.10440419358511766,0.10407527397076288
